,CIFAR10,,,STL10,,
2 vs 7,95.52 (93.60),94.56 (92.75),99.73 (93.60),100.00 (98.12),100.00 (98.50),100.00 (97.75)
2 vs 8,97.96 (96.95),97.33 (96.45),99.97 (96.25),100.00 (95.00),100.00 (94.88),100.00 (94.25)
2 vs 9,98.08 (97.45),98.33 (97.40),99.93 (96.85),100.00 (89.50),99.90 (90.19),100.00 (88.44)
3 vs 4,93.18 (91.70),91.82 (90.05),99.27 (89.95),98.90 (85.12),100.00 (84.81),100.00 (81.44)
3 vs 5,87.58 (83.25),79.97 (78.65),96.51 (78.80),99.50 (80.44),99.50 (80.56),100.00 (76.50)
3 vs 6,92.89 (91.90),91.75 (91.20),98.72 (92.10),100.00 (93.38),100.00 (92.38),100.00 (91.38)
3 vs 7,95.23 (93.00),94.10 (92.20),99.45 (92.35),99.40 (83.75),99.70 (84.38),100.00 (80.06)
3 vs 8,97.82 (96.80),97.39 (96.90),99.98 (96.70),99.80 (97.75),100.00 (97.56),100.00 (97.31)
3 vs 9,97.44 (96.40),97.95 (97.00),99.77 (95.65),99.80 (96.12),99.80 (96.50),100.00 (95.62)
4 vs 5,93.92 (92.50),92.02 (90.10),99.14 (91.30),99.70 (86.50),99.90 (84.75),100.00 (84.62)
4 vs 6,95.93 (94.45),95.04 (94.50),99.70 (92.95),99.90 (90.56),99.60 (90.38),100.00 (88.94)
4 vs 7,94.52 (92.10),92.72 (91.20),99.07 (91.60),99.30 (89.06),100.00 (87.31),100.00 (86.06)
4 vs 8,98.44 (97.65),97.98 (97.50),100.00 (97.30),100.00 (98.12),100.00 (98.00),100.00 (97.75)
4 vs 9,98.78 (98.40),98.47 (97.80),99.98 (98.15),100.00 (96.94),99.90 (96.62),100.00 (95.81)
5 vs 6,95.78 (94.90),95.54 (94.60),99.62 (94.40),99.70 (85.50),100.00 (83.81),100.00 (81.31)
5 vs 7,94.67 (93.25),92.87 (91.65),99.57 (91.15),99.50 (80.56),99.70 (79.38),100.00 (78.25)
5 vs 8,98.56 (97.70),98.33 (97.60),100.00 (97.40),99.80 (98.50),100.00 (98.44),100.00 (97.81)
5 vs 9,97.89 (97.85),98.44 (97.65),99.93 (97.00),100.00 (97.25),99.90 (97.44),100.00 (96.19)
6 vs 7,98.20 (97.35),98.42 (97.90),99.93 (97.35),100.00 (91.00),100.00 (90.12),100.00 (89.19)
6 vs 8,98.70 (98.25),98.63 (98.15),100.00 (97.95),99.80 (98.62),100.00 (98.12),100.00 (98.00)
6 vs 9,98.80 (98.85),98.82 (98.55),99.93 (98.30),100.00 (96.62),100.00 (96.50),100.00 (95.81)
7 vs 8,99.03 (98.55),98.52 (98.00),100.00 (97.90),99.90 (98.56),100.00 (98.94),100.00 (98.50)
7 vs 9,98.46 (98.00),98.17 (97.90),99.82 (96.95),99.90 (97.62),100.00 (97.88),100.00 (96.44)
8 vs 9,97.28 (96.30),97.18 (96.10),99.89 (95.15),99.90 (91.50),99.90 (91.50),100.00 (89.81)
